iter	Passed	Remaining
555	8502	6789
556	8527	6781
557	8550	6772
558	8567	6759
559	8584	6744
560	8600	6730
561	8618	6717
562	8636	6703
563	8651	6688
564	8668	6673
565	8683	6658
566	8699	6643
567	8717	6630
568	8739	6619
569	8762	6610
570	8781	6597
571	8797	6582
572	8814	6568
573	8832	6555
574	8848	6540
575	8865	6526
576	8882	6511
577	8898	6497
578	8916	6483
579	8932	6468
580	8947	6452
581	8963	6438
582	8983	6425
583	9002	6412
584	9020	6399
585	9037	6385
586	9054	6370
587	9078	6361
588	9095	6346
589	9111	6331
590	9128	6317
591	9142	6301
592	9159	6286
593	9186	6279
594	9205	6266
595	9224	6252
596	9241	6238
597	9257	6223
598	9273	6208
599	9288	6192
600	9307	6179
601	9326	6165
602	9348	6154
603	9367	6141
604	9393	6132
605	9412	6119
606	9433	6107
607	9452	6094
608	9471	6080
609	9494	6070
610	9513	6056
611	9533	6044
612	9552	6030
613	9575	6019
614	9594	6006
615	9618	5995
616	9636	5981
617	9654	5967
618	9673	5954
619	9691	5939
620	9709	5925
621	9727	5911
622	9745	5897
623	9766	5884
624	9784	5870
625	9797	5853
626	9815	5839
627	9833	5824
628	9857	5814
629	9877	5800
630	9896	5787
631	9913	5772
632	9931	5757
633	9950	5744
634	9972	5732
635	9989	5717
636	10009	5703
637	10029	5690
638	10047	5676
639	10070	5664
640	10092	5652
641	10111	5638
642	10128	5623
643	10147	5609
644	10165	5595
645	10183	5580
646	10201	5565
647	10219	5551
648	10240	5538
649	10258	5523
650	10280	5511
651	10301	5498
652	10320	5484
653	10338	5469
654	10358	5456
655	10374	5440
656	10390	5424
657	10406	5408
658	10422	5392
659	10437	5377
660	10454	5361
661	10469	5345
662	10484	5329
663	10500	5313
664	10517	5298
665	10534	5283
666	10551	5267
667	10568	5252
668	10584	5236
669	10600	5221
670	10617	5205
671	10633	5190
672	10648	5173
673	10663	5157
674	10681	5142
675	10699	5127
676	10715	5112
677	10731	5096
678	10746	5080
679	10762	5064
680	10779	5049
681	10795	5033
682	10813	5018
683	10830	5003
684	10851	4990
685	10867	4974
686	10882	4958
